highway,classification,mean_gap,median_gap,pct_within_5,pct_within_10,reduction_pct
primary,Rural,,,0.0,0.0,10
primary,Urban,-10.000000214102513,-10.000000214102513,0.0,0.0,10
secondary,Rural,-5.000000363479565,-5.000000363479565,0.02564102564102564,0.02564102564102564,10
secondary,Urban,-24.999999760305556,-24.999999760305556,0.0,0.0,10
tertiary,Rural,,,0.0,0.0,10
tertiary,Urban,,,0.0,0.0,10
trunk,Rural,,,0.0,0.0,10
trunk,Urban,,,0.0,0.0,10
primary,Rural,,,0.0,0.0,20
primary,Urban,,,0.0,0.0,20
secondary,Rural,-14.999999760305741,-14.999999760305741,0.0,0.0,20
secondary,Urban,,,0.0,0.0,20
tertiary,Rural,,,0.0,0.0,20
tertiary,Urban,,,0.0,0.0,20
trunk,Rural,,,0.0,0.0,20
trunk,Urban,,,0.0,0.0,20
primary,Rural,,,0.0,0.0,30
primary,Urban,,,0.0,0.0,30
secondary,Rural,,,0.0,0.0,30
secondary,Urban,,,0.0,0.0,30
tertiary,Rural,,,0.0,0.0,30
tertiary,Urban,,,0.0,0.0,30
trunk,Rural,,,0.0,0.0,30
trunk,Urban,,,0.0,0.0,30
primary,Rural,,,0.0,0.0,40
primary,Urban,,,0.0,0.0,40
secondary,Rural,,,0.0,0.0,40
secondary,Urban,,,0.0,0.0,40
tertiary,Rural,,,0.0,0.0,40
tertiary,Urban,,,0.0,0.0,40
trunk,Rural,,,0.0,0.0,40
trunk,Urban,,,0.0,0.0,40
primary,Rural,,,0.0,0.0,50
primary,Urban,,,0.0,0.0,50
secondary,Rural,,,0.0,0.0,50
secondary,Urban,,,0.0,0.0,50
tertiary,Rural,,,0.0,0.0,50
tertiary,Urban,,,0.0,0.0,50
trunk,Rural,,,0.0,0.0,50
trunk,Urban,,,0.0,0.0,50
primary,Rural,,,0.0,0.0,60
primary,Urban,,,0.0,0.0,60
secondary,Rural,,,0.0,0.0,60
secondary,Urban,,,0.0,0.0,60
tertiary,Rural,,,0.0,0.0,60
tertiary,Urban,,,0.0,0.0,60
trunk,Rural,,,0.0,0.0,60
trunk,Urban,,,0.0,0.0,60
primary,Rural,,,0.0,0.0,70
primary,Urban,,,0.0,0.0,70
secondary,Rural,,,0.0,0.0,70
secondary,Urban,,,0.0,0.0,70
tertiary,Rural,,,0.0,0.0,70
tertiary,Urban,,,0.0,0.0,70
trunk,Rural,,,0.0,0.0,70
trunk,Urban,,,0.0,0.0,70
primary,Rural,,,0.0,0.0,80
primary,Urban,,,0.0,0.0,80
secondary,Rural,,,0.0,0.0,80
secondary,Urban,,,0.0,0.0,80
tertiary,Rural,,,0.0,0.0,80
tertiary,Urban,,,0.0,0.0,80
trunk,Rural,,,0.0,0.0,80
trunk,Urban,,,0.0,0.0,80
primary,Rural,,,0.0,0.0,90
primary,Urban,,,0.0,0.0,90
secondary,Rural,,,0.0,0.0,90
secondary,Urban,,,0.0,0.0,90
tertiary,Rural,,,0.0,0.0,90
tertiary,Urban,,,0.0,0.0,90
trunk,Rural,,,0.0,0.0,90
trunk,Urban,,,0.0,0.0,90
primary,Rural,,,0.0,0.0,100
primary,Urban,,,0.0,0.0,100
secondary,Rural,,,0.0,0.0,100
secondary,Urban,,,0.0,0.0,100
tertiary,Rural,,,0.0,0.0,100
tertiary,Urban,,,0.0,0.0,100
trunk,Rural,,,0.0,0.0,100
trunk,Urban,,,0.0,0.0,100
